title,min_salary
Data Analyst,28000
Data Analyst,32000
Senior Data Analyst,42000
Data Analyst Apprentice,22778
Data Analyst Apprentice,18000
Data Analyst apprentice,15000
Data Analyst- Tableau- Power BI- Python- Higher Education,75600
Data Analyst,100800
Data Analyst,30000
Data Analyst,30000
Data Analyst,88200
Data Analyst,11232
Data Analyst,27000
Data Analyst,35000
Data Analyst,35000
Data Analyst,35000
Data Analyst,37000
Data Analyst,36287
Data Analyst,35000
Data Analyst ,40000
Data Analyst,35000
Data Analyst,25000
Data Analyst,35000
Data Analyst,35000
Data Analyst,45000
Data Analyst,30000
Data Analyst,25000
Data Analyst,45000
Data Analyst,35000
Data Analyst,45000
Data Analyst,35000
Data Analyst,113400
Data Analyst,35000
Data Analyst,22000
Data Analyst,35000
Data Analyst,45000
Data Analyst,40000
Data Analyst,30000
Data Analyst,9360
Data Analyst,30000
Data Analyst,33525
Data Analyst,40000
Data Analyst,100800
Data Analyst ,23000
Marketing Data Analyst,50000
HR Data Analyst,30000
Behavioural Data Analyst,45000
Behavioural Data Analyst,45000
Customer Data Analyst,126000
Graduate Data Analyst,35000
Product Data Analyst,50000
Digital Data Analyst,30000
Geospatial Data Analyst,55000
CAD Data Analyst,35000
Data Analyst Finance,45000
Senior Data Analyst,50000
Data Analyst - GA4,40000
Junior Data Analyst,25000
Senior Data Analyst,40000
Senior Data Analyst,51600
Alteryx Data Analyst,113400
Product Data Analyst,20500
Sales Data Analyst,30000
Senior Data Analyst,50000
Data Analyst Contract,45360
Marketing Data Analyst,35000
Financial Data Analyst,41000
Senior Data Analyst,40000
Marketing Data Analyst,50000
Senior Data Analyst,40000
Product Data Analyst,28000
Data Analyst - BMS,30000
Warehouse Data Analyst,32000
Lead Data Analyst,68000
Geospatial Data Analyst,55000
Trading Data Analyst,40000
Data Analyst graduate,24000
Business Data Analyst,55000
Senior Data Analyst,70000
Senior Data Analyst,138600
Senior Data Analyst,85000
Operational Data Analyst,25000
Junior Data Analyst,21000
Behavioural Data Analyst,45000
Customer Data Analyst,35000
Energy Data Analyst,35000
Data Analyst -  BMS,30000
"Data Analyst, Insurance",60000
Geospatial Data Analyst,55000
Senior Data Analyst,35000
Junior Data Analyst,28000
HRIS Data Analyst,55000
Senior Data Analyst,50400
Trainee Data Analyst,21000
Underwriting Data Analyst,50000
BI Data Analyst,55000
CAD Data Analyst,33850
Property Data Analyst,27200
BI / Data Analyst,30000
Finance Data Analyst,88200
People Data Analyst,75600
Data Analyst 2,50400
Data Analyst - eCommerce,55000
Customer Data Analyst,35000
Graduate Data Analyst,27000
Senior Data Analyst,80000
Lead Data Analyst,80000
Business Data Analyst,36000
Junior Data Analyst,23000
Graduate Data Analyst  ,25000
HR Systems & Data Analyst,30000
Senior Geospatial Data Analyst,55000
Entry-Level Data Analyst,37500
Data Analyst Apprenticeship Coach,42000
Conduct Risk  Data Analyst,40000
Data Analyst - Fintech Innovator,40000
Entry-Level Data Analyst,37000
Data Analyst - Markets Transformation,151200
Data Analyst - Financial Services,28000
Data Analyst (Entry Level),30000
D365 Project Data Analyst,113400
HR Systems & Data Analyst,30000
"Data Analyst Insight, PowerBI",35000
"Senior Data Analyst, Insurance",75000
Data Analyst - Global Marketing,30000
Entry-Level Data Analyst,35000
Data Analyst - Fintech Pioneer,40000
Data Analyst - Financial Services,28000
Senior BI Data Analyst,52000
Senior Insight & Data Analyst,50000
Business Data Analyst/ Data Governance,100800
Data Analyst - Underwriting Team,35000
Power BI Data Analyst,35000
Lead Data Analyst Workforce,14352
Engineering Data Analyst Apprentice,20000
"Data Analyst - £35,000 - Nottingham Onsite",33000
Graduate Connected Car Data Analyst,11232
Data Analyst - Web Scraping Team,30000
P/T Reward/Data Analyst,60000
Data Analyst - Green Tech Solutions,39000
Junior Connected Car Data Analyst,11232
Data Analyst - E-commerce Innovator,38000
Data Analyst - 12 month contract,24000
Defined Benefits DB Data Analyst,113400
Data Analyst- CAFM project- Berkshire,88200
Distribution Data Analyst and Development Manager,45000
Business Data Analyst - £500 per day,100800
Financial Data Analyst - 9 Month Contract,55000
Senior Marketing Data Analyst E-Commerce,65000
Senior Marketing Data Analyst E-Commerce,65000
Data Analyst EXCEL Amazing Airline!-Heathrow,28000
Commercial Data Analyst - 6 Months FTC,32000
Data Analyst - Social Impact Tech Firm,42000
Senior Marketing Data Analyst E-Commerce,65000
Senior Marketing Data Analyst E-Commerce,65000
Senior Marketing Data Analyst E-Commerce,65000
"Master Data Analyst - £37,500 - Knottingley Onsite",35000
BI & Data Analyst - 9 Month Contract,55000
Carbon Data Analyst 6 Month FTC,50000
"Data Analyst  Performance Analyst SQL, Powerbi, Azure",35000
"Data Analyst, Python, Pandas, Fully Remote, COR5644A",28000
"Data Analyst, Python, Pandas, Fully Remote, COR5644",28000
"Data Analyst, Business Intelligence Analyst, Power BI, COR5648A",30000
Graduate Data Analyst/Software Developer - London,35000
Data Analyst/Scientist - Hybrid/Bristol - Up to £55k,35000
"Data Analyst, Business Intelligence Analyst, Power BI, COR5648",30000
Pensions Accounts Assistant and Data Analyst - PART TIME,21000
Data Analyst - Carbon Accounting / Envirotech 40-45k,33000
Lead Data Analyst Workforce - NHS (b7),14352
Senior Data Analyst - Advertisting Analysis - London-Hybrid.,35000
Tech BA/Data Analyst - Booking Model Controls/Tableau,176400
"Senior Business/Data Analyst - Sql, Excel, Data Vis, Banking",138600
"Data Analyst - Financial Experience - London - £50,000 - £65,000 + bonus and benefits",50000
Data Analyst Financial Services Hybrid £600/d 6 Months LONDON,151200
"Exciting Opportunity for Graduate Data Analyst in Media Agency - London - £25,000",22000
"Exciting Opportunity for Graduate Data Analyst in Market Research Agency - London - £25,000",22000
"Exciting Opportunity for Graduate Data Analyst in Insight Advertising Agency - London - £25,000",22000
"Exciting Opportunity for Graduate Data Analyst in Media / Advertising Agency London - £25,000",22000
